Start Time (s),End Time (s),Text,Speaker
5.079999999999999,6.58," 911, where is your emergency?",Speaker 0
6.68,8.74, I've got a fire at Silver Eagle Refining 2375.,Speaker 0
8.74,11.4," Wait, hold on just a second. Slow down. What's the address?",Speaker 0
12.260000000000002,15.84, 2355 South 1100 West Woods Cross. I've got a tank on fire.,Speaker 0
16.82,18.28, Like a tank or truck?,Speaker 0
18.74,22.02," No, a tank. A petroleum tank. A bad one.",Speaker 0
23.580000000000002,24.78, We're going to need foam.,Speaker 0
25.02,25.9, Petroleum tank?,Speaker 0
26.48,28.3, Just a gas wing tank.,Speaker 0
30.259999999999998,30.92, That'll do.,Speaker 0
31.04,31.7, Everybody okay?,Speaker 0
31.98,33.44, That's a V-Candy in the building.,Speaker 0
33.6,38.96, Okay. What? Like a... Tell me what a petroleum tank is.,Speaker 0
39.36,40.8, It's a gasoline tank.,Speaker 0
41.08,43.36, A gasoline tank on what? Just by itself?,Speaker 0
43.76,44.74, It's a tank farm.,Speaker 0
48.480000000000004,49.96, Okay. Is it by any structures?,Speaker 0
50.78,54.66, Yes. I've got real cars. I've got oil tanks all the way around.,Speaker 0
54.68,58.86, Okay. All right. I'll get them on the way. 2355 South 1100 West?,Speaker 0
58.92,59.58, Woods Cross.,Speaker 0
60.0,60.66, Woods Cross.,Speaker 0
60.74,62.82, Okay. All right. Get everybody away.,Speaker 0
